t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781372851,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372881,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781373780,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373810,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373840,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373870,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373900,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373930,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373960,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781373990,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781374020,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781374050,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781374080,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781374110,5,7651,1969.0,198,3203.2410930181327,482.0,4447.0,7651.0,7651.0,7651.0,7651.0
1781374200,5,1988,526.4,61,828.2281086753817,117.0,1190.5,1988.0,1988.0,1988.0,1988.0
1781379210,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379240,5,4239,1107.8,111,1769.547032435137,237.0,2503.5,4239.0,4239.0,4239.0,4239.0
1781379270,5,4239,1107.8,111,1769.547032435137,237.0,2503.5,4239.0,4239.0,4239.0,4239.0
1781379300,5,4239,1107.8,111,1769.547032435137,237.0,2503.5,4239.0,4239.0,4239.0,4239.0
1781379330,5,4239,1107.8,111,1769.547032435137,237.0,2503.5,4239.0,4239.0,4239.0,4239.0
1781379360,5,4239,1107.8,111,1769.547032435137,237.0,2503.5,4239.0,4239.0,4239.0,4239.0
1781381160,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381191,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381221,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381251,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381281,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381311,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381341,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381371,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381401,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381431,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381461,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381491,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381521,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381551,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
